pair,lag,acf_abs
EURJPY,15,0.183278
EURJPY,16,0.178038
EURJPY,17,0.171621
EURJPY,18,0.166907
EURJPY,19,0.16422
EURJPY,20,0.165919
EURUSD,1,0.31316
EURUSD,2,0.28487
EURUSD,3,0.268901
EURUSD,4,0.256846
EURUSD,5,0.246917
EURUSD,6,0.247461
EURUSD,7,0.240937
EURUSD,8,0.23203
EURUSD,9,0.22916
EURUSD,10,0.226269
EURUSD,11,0.226397
EURUSD,12,0.217929
EURUSD,13,0.21219
EURUSD,14,0.206274
EURUSD,15,0.205966
EURUSD,16,0.198185
EURUSD,17,0.199041
EURUSD,18,0.199404
EURUSD,19,0.189457
EURUSD,20,0.18268
GBPJPY,1,0.29074
GBPJPY,2,0.259896
GBPJPY,3,0.237431
GBPJPY,4,0.235738
GBPJPY,5,0.230726
GBPJPY,6,0.224353
GBPJPY,7,0.222861
GBPJPY,8,0.208475
GBPJPY,9,0.201033
GBPJPY,10,0.197643
GBPJPY,11,0.204162
GBPJPY,12,0.202924
GBPJPY,13,0.20035
GBPJPY,14,0.186529
GBPJPY,15,0.193877
GBPJPY,16,0.193707
GBPJPY,17,0.181452
GBPJPY,18,0.181301
GBPJPY,19,0.181761
GBPJPY,20,0.188087
GBPUSD,1,0.313249
GBPUSD,2,0.273023
GBPUSD,3,0.253367
GBPUSD,4,0.243578
GBPUSD,5,0.235888
GBPUSD,6,0.232633
GBPUSD,7,0.233055
GBPUSD,8,0.224834
GBPUSD,9,0.218068
GBPUSD,10,0.21693
GBPUSD,11,0.218554
GBPUSD,12,0.216259
GBPUSD,13,0.209447
GBPUSD,14,0.203008
GBPUSD,15,0.201464
GBPUSD,16,0.199848
GBPUSD,17,0.196696
GBPUSD,18,0.193421
GBPUSD,19,0.190911
GBPUSD,20,0.189129
NZDUSD,1,0.256945
NZDUSD,2,0.223914
NZDUSD,3,0.204227
NZDUSD,4,0.194307
NZDUSD,5,0.184423
NZDUSD,6,0.184612
NZDUSD,7,0.172436
NZDUSD,8,0.163996
NZDUSD,9,0.161703
NZDUSD,10,0.156383
NZDUSD,11,0.154946
NZDUSD,12,0.154861
NZDUSD,13,0.14853
NZDUSD,14,0.143386
NZDUSD,15,0.142538
NZDUSD,16,0.134588
NZDUSD,17,0.130524
NZDUSD,18,0.134228
NZDUSD,19,0.125603
NZDUSD,20,0.121706
USDCAD,1,0.287315
USDCAD,2,0.260167
USDCAD,3,0.243597
USDCAD,4,0.238791
USDCAD,5,0.23221
USDCAD,6,0.231952
USDCAD,7,0.221729
USDCAD,8,0.212459
USDCAD,9,0.209644
USDCAD,10,0.204136
USDCAD,11,0.203101
USDCAD,12,0.204
USDCAD,13,0.196741
USDCAD,14,0.192436
USDCAD,15,0.189763
USDCAD,16,0.181146
USDCAD,17,0.177716
USDCAD,18,0.181042
USDCAD,19,0.171034
USDCAD,20,0.166818
USDCHF,1,0.541411
USDCHF,2,0.431943
USDCHF,3,0.434198
USDCHF,4,0.336626
USDCHF,5,0.216378
USDCHF,6,0.196797
USDCHF,7,0.175246
USDCHF,8,0.146062
USDCHF,9,0.14306
USDCHF,10,0.135287
USDCHF,11,0.129086
USDCHF,12,0.124611
USDCHF,13,0.122536
USDCHF,14,0.121533
USDCHF,15,0.11904
USDCHF,16,0.112896
USDCHF,17,0.114129
USDCHF,18,0.112126
USDCHF,19,0.105013
USDCHF,20,0.104686
USDJPY,1,0.300512
USDJPY,2,0.274282
USDJPY,3,0.251155
USDJPY,4,0.236743
USDJPY,5,0.237508
USDJPY,6,0.231082
USDJPY,7,0.220596
USDJPY,8,0.215341
USDJPY,9,0.207134
USDJPY,10,0.203477
USDJPY,11,0.198827
USDJPY,12,0.20442
USDJPY,13,0.196134
USDJPY,14,0.191638
USDJPY,15,0.188854
USDJPY,16,0.184097
USDJPY,17,0.178386
USDJPY,18,0.180871
USDJPY,19,0.172971
USDJPY,20,0.169766
